theme,bg_hex,fg_hex,card_surface,ink_body_on_card,ink_headline_on_card,accent_on_card,passes_aa
"Fish Tank",#232537,#ecf0fe,#2b2d43,11.84,11.85,7.47,PASS
"Flat",#002240,#2cc55d,#00284b,6.57,6.77,5.65,PASS
"Flatland",#1d1f21,#b8dbef,#292c2e,9.70,9.77,6.30,PASS
"Flexoki Dark",#100f0f,#cecdc3,#1e1c1c,10.57,10.83,5.91,PASS
"Flexoki Light",#fffcf0,#100f0f,#f0ede2,16.30,16.48,5.71,PASS
"Floraverse",#0e0d15,#dbd1b9,#171623,11.78,11.99,8.97,PASS
"Forest Blue",#051519,#e2d8cd,#082127,11.93,12.09,9.63,PASS
"Framer",#111111,#777777,#1f1f1f,3.67,4.04,12.95,FAIL
"Front End Delight",#1b1c1d,#adadad,#28292b,6.49,6.80,6.71,PASS
"Fun Forrest",#251200,#dec165,#321800,9.39,9.53,8.75,PASS
"Galaxy",#1d2837,#ffffff,#233143,13.22,13.22,4.76,PASS
"Galizur",#071317,#ddeeff,#0b1e25,14.41,14.41,10.49,PASS
"Ghostty Default Style Dark",#282c34,#ffffff,#313640,12.07,12.07,5.82,PASS
"GitHub",#f4f4f4,#3e3e3e,#e5e5e5,8.52,9.37,8.14,PASS
"GitHub Dark",#101216,#8b949e,#1a1d24,5.46,5.78,6.64,PASS
"GitHub Dark Colorblind",#0d1117,#c9d1d9,#151b25,11.17,11.38,9.74,PASS
"GitHub Dark Default",#0d1117,#e6edf3,#151b25,14.60,14.67,9.74,PASS
"GitHub Dark Dimmed",#22272e,#adbac7,#2b323b,6.57,6.76,7.87,PASS
"GitHub Dark High Contrast",#0a0c10,#f0f3f6,#13171e,16.15,16.22,10.48,PASS
"GitHub Light Colorblind",#ffffff,#24292f,#f0f0f0,12.82,13.51,4.54,PASS
"GitHub Light Default",#ffffff,#1f2328,#f0f0f0,13.83,14.40,4.54,PASS
"GitHub Light High Contrast",#ffffff,#0e1116,#f0f0f0,16.55,16.76,7.05,PASS
"GitLab Dark",#28262b,#ffffff,#343138,12.77,12.77,7.92,PASS
"GitLab Dark Grey",#222222,#ffffff,#2f2f2f,13.34,13.34,8.28,PASS
"GitLab Light",#fafaff,#303030,#ebebf0,11.11,11.88,6.65,PASS
"Glacier",#0c1115,#ffffff,#141c23,17.16,17.16,8.28,PASS
"Grape",#171423,#9f9fa1,#201c30,6.28,6.64,11.56,PASS
"Grass",#13773d,#fff0a5,#147f41,4.40,4.40,4.13,FAIL
"Grey Green",#002a1a,#ffffff,#003722,13.42,13.42,10.38,PASS
"Gruber Darker",#181818,#e4e4e4,#262626,11.92,12.07,7.20,PASS
"Gruvbox Dark",#282828,#ebdbb2,#353535,8.95,9.04,5.84,PASS
"Gruvbox Dark Hard",#1d2021,#ebdbb2,#292d2e,10.16,10.25,6.62,PASS
"Gruvbox Light",#fbf1c7,#3c3836,#ece3bb,8.96,9.75,5.20,PASS
"Gruvbox Light Hard",#f9f5d7,#3c3836,#eae6ca,9.22,10.04,5.36,PASS
"Gruvbox Material",#1d2021,#d4be98,#292d2e,7.71,7.87,7.06,PASS
"Gruvbox Material Dark",#282828,#d4be98,#353535,6.80,6.94,5.21,PASS
"Gruvbox Material Light",#fbf1c7,#654735,#ece3bb,6.47,7.32,4.21,PASS
"Guezwhoz",#1d1d1d,#d9d9d9,#2b2b2b,10.09,10.28,10.00,PASS
"HaX0R Blue",#010515,#11b7ff,#020823,8.70,8.70,8.62,PASS
"HaX0R Gr33N",#020f01,#16b10e,#041d02,6.18,6.45,10.06,PASS
"HaX0R R3D",#200101,#b10e0e,#2d0101,2.62,2.71,4.76,FAIL
"Hacktober",#141414,#c9c9c9,#222222,9.60,9.86,9.74,PASS
"Hardcore",#121212,#a0a0a0,#202020,6.21,6.58,9.86,PASS
"Harper",#010101,#a8a49d,#101010,7.65,8.05,12.04,PASS
"Havn Daggry",#f8f9fb,#3b4a7a,#e9eaec,7.13,8.05,6.15,PASS
"Havn Skumring",#111522,#d6dbeb,#181d2f,12.09,12.19,6.46,PASS
"Heeler",#211f46,#fdfdfd,#262451,14.20,14.21,7.11,PASS
"Highway",#222225,#ededed,#2e2e32,11.55,11.64,6.74,PASS
"Hipster Green",#100b05,#84c138,#1e1509,8.29,8.55,11.43,PASS
"Hivacruz",#132638,#ede4e4,#172e44,11.12,11.21,10.77,PASS
"Homebrew",#000000,#00ff00,#0f0f0f,13.94,13.94,12.15,PASS
"Hopscotch",#322931,#b9b5b8,#3e333d,5.92,6.15,8.06,PASS
"Hopscotch.256",#322931,#b9b5b8,#3e333d,5.92,6.15,3.51,PASS
"Horizon",#1c1e26,#d5d8da,#262833,10.21,10.39,9.66,PASS
"Horizon Bright",#fdf0ed,#16161d,#eee2df,14.17,14.46,2.27,PASS
"Hot Dog Stand",#ea3323,#ffffff,#eb3323,4.16,4.16,5.04,FAIL
"Hot Dog Stand (Mustard)",#ffff54,#000000,#f0f04f,17.24,17.24,17.24,PASS
"Hurtado",#000000,#dbdbdb,#0f0f0f,13.81,14.06,13.86,PASS
"Hybrid",#161719,#b7bcba,#222427,8.11,8.40,7.44,PASS
"IBM 5153 CGA",#141414,#cecece,#222222,10.10,10.35,11.68,PASS
"IBM 5153 CGA (Black)",#000000,#c4c4c4,#0f0f0f,10.97,11.31,14.06,PASS
"IC Green PPL",#2c2c2c,#e0f1dc,#393939,9.83,9.89,9.06,PASS
"IC Orange PPL",#262626,#ffcb83,#333333,8.49,8.49,7.67,PASS
"IR Black",#000000,#f1f1f1,#0f0f0f,16.93,17.04,14.81,PASS
"IRIX Console",#0c0c0c,#f2f2f2,#1b1b1b,15.45,15.54,10.19,PASS
"IRIX Terminal",#000043,#f2f2f2,#00004e,16.89,16.98,17.68,PASS
"Iceberg Dark",#161821,#c6c8d1,#1f222e,9.51,9.73,8.36,PASS
"Iceberg Light",#e8e9ec,#33374c,#dadbde,8.47,9.21,6.43,PASS
"Idea",#202020,#adadad,#2d2d2d,6.10,6.40,6.24,PASS
"Idle Toes",#323232,#ffffff,#3e3e3e,10.65,10.65,9.34,PASS
"Jackie Brown",#2c1d16,#ffcc2f,#39251c,9.55,9.55,9.15,PASS
"Japanesque",#1e1e1e,#f7f6ec,#2c2c2c,12.96,13.00,6.52,PASS
"Jellybeans",#121212,#dedede,#202020,12.08,12.27,12.83,PASS
"JetBrains Darcula",#202020,#adadad,#2d2d2d,6.10,6.40,7.66,PASS
"Jubi",#262b33,#c3d3de,#2f353f,8.01,8.14,7.38,PASS
"Kanagawa Dragon",#181616,#c5c9c5,#262323,9.34,9.60,6.91,PASS
"Kanagawa Lotus",#f2ecbc,#545464,#e3deb1,5.42,6.20,5.33,PASS
"Kanagawa Wave",#1f1f28,#dcd7ba,#292935,9.89,10.06,6.35,PASS
"Kanagawabones",#1f1f28,#ddd8bb,#292935,9.99,10.15,7.26,PASS
"Kanso Ink",#14171d,#c5c9c7,#1d222b,9.56,9.82,7.07,PASS
"Kanso Mist",#22262d,#c5c9c7,#2c313a,7.85,8.07,5.81,PASS
"Kanso Pearl",#f2f1ef,#22262d,#e3e3e1,11.79,12.36,5.66,PASS
"Kanso Zen",#090e13,#c5c9c7,#101821,10.66,10.96,7.88,PASS
"Kibble",#0e100a,#f7f7f7,#1b1e13,15.76,15.81,12.35,PASS
"Kitty Default",#000000,#dddddd,#0f0f0f,14.08,14.31,15.28,PASS
"Kitty Low Contrast",#333333,#ffffff,#3f3f3f,10.49,10.49,8.38,PASS
"Kolorit",#1d1a1e,#efecec,#2a262c,12.70,12.79,10.13,PASS
"Konsolas",#060606,#c8c1c1,#151515,10.31,10.61,15.09,PASS
"Kurokula",#141515,#e0cfc2,#212323,10.42,10.57,11.01,PASS
"Lab Fox",#2e2e2e,#ffffff,#3b3b3b,11.28,11.28,2.78,PASS
"Laser",#030d18,#f106e3,#051526,5.16,5.19,15.14,PASS
"Later This Evening",#222222,#959595,#2f2f2f,4.45,4.76,6.66,FAIL
"Lavandula",#050014,#736e7d,#090022,4.11,4.48,12.44,FAIL
"Light Owl",#fbfbfb,#403f53,#ececec,8.65,9.56,3.53,PASS
"Liquid Carbon",#303030,#afc2c2,#3c3c3c,5.91,6.10,5.53,PASS
"Liquid Carbon Transparent",#000000,#afc2c2,#0f0f0f,10.31,10.64,9.65,PASS
"Lovelace",#1d1f28,#fdfdfd,#262935,14.22,14.23,9.93,PASS
"Man Page",#fef49c,#000000,#efe593,16.33,16.33,9.94,PASS
"Mariana",#343d46,#d8dee9,#3c4751,7.05,7.12,5.26,PASS
"Material",#eaeaea,#232322,#dcdcdc,11.47,11.96,8.74,PASS
"Material Dark",#232322,#e5e5e5,#30302f,10.46,10.59,5.72,PASS
"Material Darker",#212121,#eeffff,#2e2e2e,13.12,13.12,8.92,PASS
"Material Design Colors",#1d262a,#e7ebed,#263237,11.04,11.13,11.24,PASS
"Material Ocean",#0f111a,#8f93a2,#171a28,5.65,5.96,11.41,PASS
"Mathias",#000000,#bbbbbb,#0f0f0f,9.96,10.33,15.61,PASS
"Matrix",#0f191c,#426644,#16252a,2.41,2.68,13.44,FAIL
"Matte Black",#121212,#bebebe,#202020,8.74,9.05,13.51,PASS
"Medallion",#1d1908,#cac296,#2b250c,8.54,8.77,9.19,PASS
"Melange Dark",#292522,#ece1d7,#36312d,10.04,10.12,5.65,PASS
"Melange Light",#f1f1f1,#54433a,#e3e3e3,7.27,8.12,5.01,PASS
"Mellifluous",#1a1a1a,#dadada,#282828,10.58,10.77,6.87,PASS
"Mellow",#161617,#c9c7cd,#232325,9.33,9.57,8.40,PASS
"Miasma",#222222,#c2c2b0,#2f2f2f,7.39,7.63,5.71,PASS
"Midnight In Mojave",#1e1e1e,#ffffff,#2c2c2c,14.06,14.06,7.42,PASS
"Mirage",#1b2738,#a6b2c0,#212f44,6.26,6.46,7.68,PASS
"Misterioso",#2d3743,#e1e1e0,#35404e,8.03,8.14,7.10,PASS
"Modus Operandi",#ffffff,#000000,#f0f0f0,18.38,18.38,9.80,PASS
"Modus Operandi Tinted",#fbf7f0,#000000,#ece8e2,17.22,17.22,9.18,PASS
"Modus Vivendi",#000000,#ffffff,#0f0f0f,19.13,19.13,12.21,PASS
"Modus Vivendi Tinted",#0d0e1c,#ffffff,#13152a,17.99,17.99,11.49,PASS
"Molokai",#121212,#bbbbbb,#202020,8.47,8.78,8.99,PASS
"Mona Lisa",#120b0d,#f7d66a,#201417,12.61,12.65,9.56,PASS
"Monokai Classic",#272822,#fdfff1,#34352d,12.29,12.29,7.54,PASS
"Monokai Pro",#2d2a2e,#fcfcfa,#39353b,11.65,11.66,7.52,PASS
"Monokai Pro Light",#faf4f2,#29242a,#ebe5e3,12.24,12.83,4.41,PASS
"Monokai Pro Light Sun",#f8efe7,#2c232e,#e9e1d9,11.68,12.25,4.93,PASS
"Monokai Pro Machine",#273136,#f2fffc,#303c42,11.08,11.08,6.84,PASS
"Monokai Pro Octagon",#282a3a,#eaf2f1,#303346,10.99,11.06,7.29,PASS
"Monokai Pro Ristretto",#2c2525,#fff1f3,#393030,11.73,11.73,7.91,PASS
"Monokai Pro Spectrum",#222222,#f7f1ff,#2f2f2f,12.06,12.06,7.62,PASS
"Monokai Remastered",#0c0c0c,#d9d9d9,#1b1b1b,12.26,12.48,9.67,PASS
"Monokai Soda",#1a1a1a,#c4c5b5,#282828,8.45,8.71,8.27,PASS
"Monokai Vivid",#121212,#f9f9f9,#202020,15.44,15.48,8.99,PASS
"Moonfly",#080808,#bdbdbd,#171717,9.56,9.90,10.84,PASS
"N0Tch2K",#222222,#a0a0a0,#2f2f2f,5.10,5.40,9.73,PASS
"Neobones Dark",#0f191f,#c6d5cf,#16242c,10.47,10.68,6.95,PASS
"Neobones Light",#e5ede6,#202e18,#d7dfd8,10.52,11.13,5.93,PASS
"Neon",#14161a,#00fffc,#1f2228,12.74,12.74,13.56,PASS
"Neopolitan",#271f19,#ffffff,#342921,14.10,14.10,5.69,PASS
"Neutron",#1c1e22,#e6e8ef,#272a2f,11.79,11.88,4.13,PASS
"Night Lion V1",#000000,#bbbbbb,#0f0f0f,9.96,10.33,15.61,PASS
"Night Lion V2",#171717,#bbbbbb,#252525,7.99,8.29,8.84,PASS
"Night Owl",#011627,#d6deeb,#011d34,12.61,12.72,10.48,PASS
"Night Owlish Light",#ffffff,#403f53,#f0f0f0,8.95,9.89,8.95,PASS
"Nightfox",#192330,#cdcecf,#1f2c3c,8.96,9.18,8.28,PASS
"Niji",#141515,#ffffff,#212323,15.78,15.78,13.72,PASS
"No Clown Fiesta",#101010,#e0e1e4,#1e1e1e,12.70,12.86,11.27,PASS
"No Clown Fiesta Light",#e1e1e1,#151515,#d3d3d3,12.26,12.48,4.65,PASS
"Nocturnal Winter",#0d0d17,#e6e5e5,#151525,14.34,14.51,11.02,PASS
"Nord",#2e3440,#d8dee9,#363d4b,8.03,8.11,5.42,PASS
"Nord Light",#e5e9f0,#414858,#d7dbe2,6.60,7.39,2.04,PASS
"Nord Wave",#212121,#d8dee9,#2e2e2e,10.01,10.11,6.76,PASS
"Nordfox",#2e3440,#cdcecf,#363d4b,6.89,7.05,6.16,PASS
"Novel",#dfdbc3,#3b2322,#d2ceb7,9.13,9.64,7.07,PASS
"Nvim Dark",#14161b,#e0e2ea,#1e2129,12.43,12.55,12.93,PASS
"Nvim Light",#e0e2ea,#14161b,#d3d4dc,12.28,12.53,10.53,PASS
"Obsidian",#283033,#cdcdcd,#323c3f,7.17,7.35,9.30,PASS
"Ocean",#224fbc,#ffffff,#2351c0,7.00,7.00,4.45,PASS
"Oceanic Material",#1c262b,#c2c8d7,#243138,7.96,8.11,6.61,PASS
"Oceanic Next",#162c35,#c0c5ce,#1b3641,7.34,7.52,5.20,PASS
"Ollie",#222125,#8a8dae,#2e2d32,4.24,4.43,10.55,FAIL
"One Dark Two",#21252b,#e6e6e6,#2b3038,10.65,10.77,7.36,PASS
"One Double Dark",#282c34,#dbdfe5,#313640,9.02,9.13,7.82,PASS
"One Double Light",#fafafa,#383a43,#ebebeb,9.50,10.37,4.90,PASS
"One Half Dark",#282c34,#dcdfe4,#313640,9.03,9.15,5.11,PASS
"One Half Light",#fafafa,#383a42,#ebebeb,9.51,10.38,5.13,PASS
"Onenord",#2e3440,#e5e9f0,#363d4b,8.91,8.97,5.42,PASS
"Onenord Light",#f7f8fa,#2e3440,#e8e9eb,10.29,11.10,7.43,PASS
"Operator Mono Dark",#191919,#c3cac2,#272727,8.95,9.19,10.51,PASS
"Overnight Slumber",#0e1729,#ced2d6,#121e36,10.90,11.12,9.23,PASS
"Oxocarbon",#161616,#f2f4f8,#242424,14.10,14.14,6.67,PASS
"Pale Night Hc",#3e4251,#cccccc,#464b5b,5.43,5.58,6.75,PASS
"Pandora",#141e43,#e1e1e1,#17234e,11.56,11.72,10.22,PASS
"Paraiso Dark",#2f1e2e,#a39e9b,#3b263a,5.19,5.47,6.61,PASS
"Paul Millr",#000000,#f2f2f2,#0f0f0f,17.09,17.18,12.45,PASS
"Pencil Dark",#212121,#f1f1f1,#2e2e2e,11.97,12.04,6.16,PASS
"Pencil Light",#f1f1f1,#424242,#e3e3e3,7.80,8.64,7.14,PASS
"Peppermint",#000000,#c8c8c8,#0f0f0f,11.43,11.76,12.35,PASS
"Phala Green Dark",#000000,#c1fc03,#0f0f0f,15.66,15.68,12.51,PASS
"Piatto Light",#ffffff,#414141,#f0f0f0,8.93,9.88,5.47,PASS
"Pnevma",#1c1c1c,#d0d0d0,#2a2a2a,9.35,9.58,10.54,PASS
"Poimandres",#1a1e28,#a6accd,#222835,6.62,6.79,12.37,PASS
"Poimandres Darker",#16161e,#a6accd,#20202c,7.22,7.40,13.49,PASS
"Poimandres Storm",#252b37,#a6accd,#2d3443,5.56,5.70,8.24,PASS
"Poimandres White",#fefeff,#969cbd,#efeff0,2.34,2.86,2.22,FAIL
